Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Summer Night City,ABBA,Voulez-Vous, 1978,214706,4,0.476,0.858,7,-5.66,0,0.0371,0.0138,0,0.177,0.765,130.703,54
Take A Chance On Me,ABBA,The Album, 1978,243933,4,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,76
The Name Of The Game,ABBA,The Album, 1977,291866,4,0.656,0.565,9,-8.722,1,0.0301,0.357,0.000192,0.0629,0.615,77.049,59
Voulez-Vous,ABBA,Voulez-Vous, 1979,309173,4,0.708,0.774,11,-6.931,0,0.0372,0.149,0.00109,0.169,0.903,126.636,72
Call Me,Andrea True Connection,"More, More, More", 1978,445306,4,0.617,0.741,7,-11.497,1,0.029,0.000311,0.891,0.114,0.905,118.938,12
Fill Me Up (Heart to Heart),Andrea True Connection,"More, More, More", 1976,622426,4,0.646,0.724,0,-11.24,1,0.0307,0.045,0.285,0.0963,0.946,96.631,8
It's All Up to You,Andrea True Connection,White Witch, 1976,181200,4,0.622,0.696,8,-11.1,0,0.0471,0.326,0.00000421,0.318,0.933,202.097,5
Keep It Up Longer,Andrea True Connection,"More, More, More", 1977,273893,4,0.67,0.696,7,-11.006,1,0.0362,0.000183,0.768,0.126,0.696,122.654,10
Life Is What You Make It,Andrea True Connection,White Witch, 1977,198066,4,0.644,0.654,0,-9.465,1,0.0531,0.248,0.0000117,0.0666,0.776,129.378,3
"More, More, More",Andrea True Connection,"More, More, More", 1976,376866,4,0.719,0.647,9,-11.639,0,0.0298,0.00368,0.0482,0.107,0.88,103.113,42
N.Y. You Got Me Dancing,Andrea True Connection,White Witch, 1976,361626,4,0.625,0.858,5,-9.81,1,0.0432,0.0683,0.728,0.285,0.743,119.185,16
Party Line,Andrea True Connection,"More, More, More", 1977,406933,4,0.63,0.737,8,-10.217,1,0.0273,0.0621,0.188,0.132,0.648,110.121,10
Sally Can't Dance,Andrea True Connection,White Witch, 1976,182400,4,0.596,0.88,9,-8.486,0,0.0508,0.0335,0.0000576,0.0625,0.885,145.714,3
"What's Your Name, What's Your Number",Andrea True Connection,"More, More, More", 1977,197096,4,0.782,0.833,11,-5.817,0,0.0322,0.0013,0.00435,0.0759,0.937,113.943,20
"Baby, I Love You",Aretha Franklin,Aretha Arrives, 1967,164266,4,0.565,0.41,0,-10.315,1,0.0386,0.499,0,0.664,0.827,182.164,54
Freeway Of Love,Aretha Franklin,Who's Zoomin' Who? (Expanded Edition), 1985,352093,4,0.688,0.899,2,-6.328,1,0.0734,0.242,0.00000555,0.0223,0.833,126.509,45
Get It Right,Aretha Franklin,Get It Right, 1983,377093,4,0.758,0.829,1,-6.622,1,0.174,0.0486,0.0000016,0.0317,0.824,122.298,39
I Knew You Were Waiting (For Me),Aretha Franklin,ARETHA, 1986,240120,4,0.705,0.842,9,-6.171,1,0.0503,0.231,0,0.382,0.712,107.931,61
Jump to It - Single Version,Aretha Franklin,Jump to It (Expanded Edition), 1982,257653,4,0.788,0.605,8,-9.003,0,0.185,0.141,0.00000156,0.0844,0.898,119.74,35
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You, 1967,147600,4,0.805,0.558,0,-5.226,1,0.041,0.164,0.000022,0.0546,0.965,114.95,77
Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,Spanish Harlem, 1973,206213,4,0.68,0.54,2,-9.831,1,0.0275,0.624,0.000908,0.116,0.718,94.548,29
"Don't Cost You Nothing - 12"" Disco Mix",Ashford & Simpson,"Hits, Remixes and Rarities: The Warner Brothers Years", 1979,409253,4,0.672,0.909,1,-6.252,1,0.112,0.115,0.0811,0.153,0.816,118.545,11
Found a Cure,Ashford & Simpson,Stay Free, 1979,421040,4,0.745,0.759,3,-6.69,0,0.0534,0.0548,0.0967,0.0848,0.862,123.598,29
It Seems to Hang On,Ashford & Simpson,Is It Still Good To Ya (US Internet Release), 1980,313066,4,0.654,0.676,11,-11.742,0,0.0646,0.167,0.000076,0.112,0.743,115.773,30
"Love Don't Make It Right - 12"" Disco Mix",Ashford & Simpson,"Hits, Remixes and Rarities: The Warner Brothers Years", 1980,263933,4,0.738,0.887,11,-8.624,0,0.0446,0.0242,0.0000314,0.0773,0.687,110.045,13
Send It,Ashford & Simpson,Send It, 1982,266626,4,0.448,0.845,5,-7.149,1,0.0706,0.152,0.0000213,0.114,0.55,80.147,23
Solid,Ashford & Simpson,Solid, 1984,312000,4,0.814,0.474,0,-12.017,1,0.0309,0.27,0.00000816,0.599,0.956,101.241,52
Stay Free,Ashford & Simpson,Stay Free, 1980,322480,4,0.645,0.646,5,-14.809,0,0.0495,0.0569,0.00000972,0.11,0.715,107.724,18
Street Corner,Ashford & Simpson,Solid (Expanded Edition), 1980,278266,4,0.752,0.52,0,-13.988,1,0.0563,0.279,0.00229,0.0313,0.913,110.764,30
Can't Stop Groovin' Now (Wanna Do It Some More),B.T. Express,Energy to Burn, 1979,352506,4,0.732,0.889,6,-9.026,0,0.0968,0.0517,0.796,0.0584,0.668,116.796,6
Do It ('Til You're Satisfied),B.T. Express,Do It ('Til You're Satisfied), 1974,353986,4,0.703,0.761,10,-10.136,1,0.0552,0.115,0.00000499,0.103,0.652,104.838,38
Energy Level,B.T. Express,Energy to Burn, 1975,230666,4,0.673,0.735,7,-9.513,0,0.107,0.00279,0.747,0.0328,0.96,132.582,17
Express,B.T. Express,Do It ('Til You're Satisfied), 1975,308013,4,0.664,0.676,0,-11.276,1,0.0347,0.000113,0.0989,0.0731,0.532,108.158,31
Give up the Funk (Let's Dance),B.T. Express,Give up the Funk (Let's Dance), 1975,373720,4,0.884,0.635,3,-15.564,0,0.0704,0.0474,0.444,0.299,0.879,115.583,2
You Got It – I Want It,B.T. Express,Non-Stop, 1976,250773,4,0.79,0.91,10,-5.511,0,0.0651,0.11,0.0212,0.0561,0.956,122.674,7
Hi Jack,Barrabas,Soltad a Barrabas, 1974,346213,4,0.721,0.581,4,-14.347,0,0.0611,0.0417,0.259,0.0542,0.768,118.615,19
Mellow Blow,Barrabas,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered], 1974,247653,4,0.696,0.487,4,-16.243,1,0.0394,0.0261,0.9,0.676,0.682,103.377,13
On The Road Again,Barrabas,Piel de Barrabas, 1975,349373,4,0.798,0.524,9,-13.522,1,0.0538,0.018,0.0371,0.096,0.917,119.137,36
Wild Safari,Barrabas,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered], 1977,299826,4,0.668,0.562,10,-14.834,0,0.0668,0.14,0.0781,0.158,0.921,109.947,26
Woman,Barrabas,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered], 1977,304040,4,0.703,0.595,7,-13.707,1,0.1,0.0125,0.0128,0.0537,0.838,124.14,27
"Can't Get Enough Of Your Love, Babe",Barry White,Can't Get Enough, 1974,274000,4,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,68
I'm Gonna Love You Just A Little More Baby,Barry White,I've Got So Much To Give, 1973,431506,4,0.606,0.486,7,-13.553,0,0.0411,0.0111,0.00144,0.0757,0.81,87.568,55
Let The Music Play - Single Version,Barry White,Let The Music Play (Expanded Edition), 1976,210386,4,0.537,0.812,10,-6.257,1,0.0473,0.0151,0,0.153,0.752,99.325,62
"Never, Never Gonna Give Ya Up",Barry White,Barry White's Greatest Hits, 1973,290666,4,0.615,0.804,2,-11.04,0,0.0752,0.0823,0,0.085,0.932,85.164,58
"Playing Your Game, Baby",Barry White,Barry White Sings For Someone You Love, 1977,433226,4,0.677,0.238,2,-11.172,0,0.0526,0.032,0.111,0.092,0.88,82.926,42
What Am I Gonna Do With You,Barry White,Just Another Way To Say I Love You, 1975,219440,4,0.625,0.869,2,-9.467,0,0.0293,0.0246,0.0626,0.093,0.89,114.223,52
"You're The First, The Last, My Everything - Single Version",Barry White,The Complete 20th Century Records Singles (1973-1979), 1974,212986,4,0.629,0.7,5,-7.139,1,0.0299,0.00221,0.000208,0.42,0.912,131.007,44
Boogie Child,Bee Gees,Children Of The World, 1976,252333,4,0.735,0.574,10,-12.512,0,0.0765,0.0644,0.000024,0.105,0.868,97.982,30
How Deep Is Your Love,Bee Gees,Greatest, 1977,245200,4,0.633,0.357,5,-9.366,0,0.0264,0.107,0,0.133,0.672,104.938,78
Jive Talkin',Bee Gees,Main Course, 1975,222266,4,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,61
Love You Inside Out,Bee Gees,Spirits Having Flown, 1979,251333,4,0.706,0.516,11,-11.037,0,0.0474,0.354,0.00000419,0.205,0.833,94.713,58
More Than A Woman,Bee Gees,Greatest, 1977,197213,4,0.632,0.683,7,-6.434,1,0.0385,0.163,0.00013,0.847,0.701,105.959,77
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest, 1977,212253,4,0.733,0.795,1,-7.224,0,0.0249,0.0263,0.000952,0.083,0.892,109.121,75
Nights On Broadway,Bee Gees,Main Course, 1975,271373,4,0.573,0.641,5,-9.196,1,0.0443,0.235,0.00414,0.859,0.613,88.862,54
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart, 1977,285373,4,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,72
Tragedy,Bee Gees,Spirits Having Flown, 1979,303333,4,0.665,0.532,11,-10.792,0,0.0278,0.0871,0.00993,0.296,0.825,117.954,67
You Should Be Dancing,Bee Gees,The Ultimate Bee Gees, 1976,256453,4,0.703,0.855,0,-6.478,1,0.0315,0.0246,0.517,0.611,0.953,122.929,60
Answer to My Prayer,Blue Magic,Blue Magic, 1975,202680,4,0.638,0.444,10,-13.388,1,0.0315,0.659,0.0000667,0.0548,0.656,121.328,21
Just Don't Want to Be Lonely,Blue Magic,Blue Magic, 1974,432586,4,0.51,0.506,5,-13.327,1,0.0576,0.257,0.00409,0.117,0.709,143.016,41
Look Me Up,Blue Magic,Blue Magic, 1975,353466,4,0.697,0.691,6,-11.936,1,0.0555,0.26,0.0154,0.11,0.762,125.43,25
Sideshow,Blue Magic,Blue Magic, 1974,251520,4,0.586,0.337,7,-13.165,1,0.0347,0.837,0,0.628,0.543,133.229,51
Since You've Been Gone,Blue Magic,Magic #, 1976,347033,3,0.562,0.338,8,-13.461,1,0.0283,0.0582,0.00252,0.15,0.238,114.104,14
Spell,Blue Magic,Blue Magic, 1974,260813,4,0.535,0.411,8,-11.736,1,0.0421,0.521,0.0534,0.093,0.549,130.066,31
Stop to Start,Blue Magic,Blue Magic, 1975,202733,4,0.435,0.385,4,-14.478,1,0.0385,0.575,0.000319,0.483,0.316,63.103,36
Tear It Down,Blue Magic,Blue Magic, 1974,330906,4,0.461,0.353,1,-12.686,1,0.0366,0.464,0.0013,0.253,0.26,135.879,25
Welcome to the Club,Blue Magic,Blue Magic, 1976,311386,4,0.629,0.736,4,-12.143,0,0.108,0.305,0.0000561,0.0639,0.517,124.115,20
What's Come over Me,Blue Magic,Blue Magic, 1975,254133,3,0.494,0.323,8,-13.119,1,0.0317,0.825,0.00003,0.128,0.431,122.835,29
Bohannon's Beat (Part 1) - Single Version - Bonus Track,Bohannon,Bohannon, 1974,238986,4,0.794,0.928,2,-6.467,1,0.0547,0.363,0.624,0.0491,0.976,101.467,6
Disco Stomp,Bohannon,Insides Out, 1975,315013,4,0.874,0.789,5,-8.732,1,0.0538,0.432,0.349,0.0815,0.941,104.881,23
Foot-Stompin Music,Bohannon,Insides Out, 1974,437386,4,0.802,0.898,2,-7.407,1,0.0349,0.585,0.45,0.0873,0.962,123.025,17
Let's Start The Dance,Bohannon,Summertime Groove, 1978,352106,4,0.818,0.886,10,-12.639,1,0.0521,0.00336,0.31,0.0711,0.835,117.999,32
Party People,Bohannon,Dance Your Ass Off, 1978,289293,4,0.732,0.698,7,-6.784,1,0.0453,0.0546,0.178,0.0695,0.922,125.559,2
Save Their Souls,Bohannon,Stop & Go, 1977,296080,4,0.52,0.566,8,-10.147,1,0.103,0.691,0.203,0.106,0.483,171.768,27
Brown Girl in the Ring,Boney M.,Nightflight to Venus, 1978,242093,4,0.732,0.743,8,-7.083,1,0.0486,0.22,0.00154,0.0173,0.893,105.64,50
Daddy Cool,Boney M.,Take The Heat Off Me, 1976,208600,4,0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,71
Ma Baker,Boney M.,Love For Sale, 1977,276080,4,0.746,0.76,2,-6.009,0,0.105,0.0342,0.0000218,0.31,0.902,128.976,64
Mary's Boy Child / Oh My Lord,Boney M.,The Magic Of Boney M. (Special Remix Edition), 1978,242186,4,0.774,0.824,0,-5.961,1,0.0367,0.22,0,0.286,0.93,112.517,26
Rasputin,Boney M.,Nightflight to Venus, 1978,351573,4,0.639,0.893,9,-6.509,1,0.036,0.289,0.00816,0.222,0.966,126.143,63
Rivers of Babylon,Boney M.,Nightflight to Venus, 1978,261266,4,0.729,0.851,7,-7.033,1,0.0362,0.13,0.000912,0.443,0.741,115.118,68
Sunny,Boney M.,Take The Heat Off Me, 1976,242240,4,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,68
Hallelujah Anyway - Larse VIP,Candi Staton,Hallelujah Anyway (Larse VIP), 1979,231167,4,0.758,0.64,9,-7.338,1,0.0445,0.0196,0.0459,0.0915,0.241,121.994,40
He Called Me Baby,Candi Staton,Stand By Your Man, 1969,213026,4,0.63,0.376,3,-13.305,1,0.0304,0.563,0,0.148,0.815,94.057,42
Young Hearts Run Free,Candi Staton,Young Hearts Run Free (US Internet Release), 1976,248360,4,0.654,0.652,7,-9.304,0,0.0426,0.13,0.0000149,0.202,0.846,115.389,71
Young Hearts Run Free - Re-Recorded,Candi Staton,One Hit Magic: The 70's,2000,237017,4,0.728,0.631,9,-7.059,1,0.0702,0.00917,0,0.0662,0.49,116.006,0
A Hurricane Is Coming Tonight,Carol Douglas,70s Disco Dancefloor (Best Soulful Disco Hits), 1974,244733,4,0.624,0.79,1,-11.406,0,0.0334,0.357,0,0.725,0.978,128.987,0
Baby Don't Let This Good Love Die,Carol Douglas,The Carol Douglas Album, 1976,191893,4,0.656,0.535,2,-13.692,1,0.0384,0.065,0.0954,0.14,0.918,125.868,8
Burnin',Carol Douglas,Disco Queen: Greatest Hits, 1977,313840,4,0.748,0.591,2,-10.851,0,0.0596,0.017,0.000351,0.399,0.966,120.229,4
Doctor's Orders,Carol Douglas,The Carol Douglas Album, 1974,270533,4,0.662,0.636,0,-14.2,1,0.0336,0.0679,0.737,0.0891,0.963,125.845,42
Fell in Love for the First Time Today - Remix,Carol Douglas,Burnin', 1977,337800,4,0.622,0.482,9,-13.952,0,0.0516,0.0129,0.00000288,0.13,0.926,119.878,0
Headline News,Carol Douglas,Midnight Love Affair, 1978,312040,4,0.658,0.707,9,-13.651,1,0.0377,0.0139,0.00147,0.0918,0.881,117.663,5
I Got the Answer (John Morales Disco Remix),Carol Douglas,Come into My Life, 1977,519229,4,0.659,0.655,10,-11.297,0,0.0344,0.089,0.0102,0.185,0.904,130.388,0
Midnight Love Affair,Carol Douglas,Midnight Love Affair, 1978,373306,4,0.575,0.83,4,-12.354,0,0.0331,0.000812,0.498,0.174,0.954,121.436,28
My Simple Heart,Carol Douglas,"Star Funk, Vol. 3", 1978,360706,4,0.805,0.616,5,-9.962,0,0.0365,0.00199,0.0227,0.0675,0.929,123.043,17
Will We Make It Tonight,Carol Douglas,The Carol Douglas Album, 1978,212400,4,0.683,0.405,0,-13.756,1,0.0325,0.00677,0.405,0.0803,0.74,116.422,3
Cerrone's Paradise,Cerrone,Cerrone's Paradise, 1977,234500,4,0.778,0.843,10,-5.485,1,0.0585,0.153,0.00463,0.0672,0.81,125.949,26
Give Me Love - 1977,Cerrone,3 - Supernature, 1977,462000,4,0.802,0.865,1,-6.768,0,0.0799,0.274,0.00704,0.0555,0.954,127.106,52
Je Suis Music - Armand Van Helden Remix Edit,Cerrone,Discoset 1,2000,216774,4,0.783,0.707,10,-10.783,1,0.0607,0.0138,0.0162,0.0713,0.413,123.993,29
Look for Love,Cerrone,IV - The Golden Touch, 1978,617646,4,0.709,0.746,5,-6.769,1,0.0336,0.0038,0.0485,0.136,0.909,119.545,18
Love In C Minor - Franc Moody Remix,Cerrone,Love In C Minor (Franc Moody Remix),2020,185400,4,0.749,0.758,0,-5.676,0,0.0399,0.0105,0.525,0.0912,0.509,125.977,38
Midnight Madness,Cerrone,Don Ray - Garden of Love, 1979,343000,4,0.789,0.932,11,-3.384,0,0.0493,0.00402,0.00476,0.0719,0.886,127.675,8
Rock Me,Cerrone,V - Angelina, 1978,372275,4,0.749,0.581,0,-6.069,0,0.0629,0.000553,0.00462,0.12,0.843,124.031,5
Supernature,Cerrone,3 - Supernature, 1977,585374,4,0.62,0.948,5,-6.639,0,0.0432,0.00221,0.228,0.197,0.826,123.028,59
I'm Every Woman,Chaka Khan,Chaka, 1978,249600,4,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,65
All My Lovin',Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1978,291213,4,0.715,0.847,7,-9.86,1,0.0575,0.165,0.219,0.112,0.931,93.424,26
Daybreak (Storybook Children),Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1978,226320,4,0.34,0.235,3,-10.863,1,0.0301,0.742,0.0000134,0.33,0.126,134.289,13
Give My Love to You,Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1979,214173,4,0.677,0.814,2,-8.665,1,0.0394,0.0735,0.46,0.57,0.851,106.123,13
Got to Be Real,Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1978,307946,4,0.836,0.626,9,-10.143,0,0.0335,0.0943,0.742,0.153,0.898,114.657,66
If This World Were Mine (with Luther Vandross),Cheryl Lynn,Instant Love (Expanded Edition), 1980,323986,4,0.393,0.418,9,-9.999,1,0.0394,0.588,0,0.0638,0.307,123.6,45
Keep It Hot,Cheryl Lynn,The Best Of Cheryl Lynn: Got To Be Real, 1978,322306,4,0.692,0.686,7,-11.344,0,0.069,0.036,0.00000155,0.0855,0.884,113.199,9
Shake It Up Tonight,Cheryl Lynn,In The Night (Expanded Edition), 1978,341720,4,0.766,0.699,8,-9.562,1,0.0493,0.0306,0.000229,0.226,0.772,120.773,33
Star Love,Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1978,444120,4,0.723,0.717,3,-10.437,0,0.0362,0.0345,0.0558,0.0737,0.821,137.532,25
You Saved My Day,Cheryl Lynn,Cheryl Lynn (Expanded Edition), 1980,267106,4,0.803,0.574,11,-11.241,1,0.0349,0.0677,0.00405,0.0891,0.953,112.153,21
Chic Cheer - 2018 Remaster,CHIC,C'est Chic (2018 Remaster),2018,284666,4,0.862,0.67,2,-15.172,1,0.326,0.00285,0.185,0.845,0.534,113.05,36
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",CHIC,"Dance, Dance, Dance: The Best of Chic", 1978,501466,4,0.85,0.665,10,-9.404,0,0.0887,0.00964,0.486,0.0886,0.718,123.166,41
Everybody Dance,CHIC,Good Times: The Very Best Of Chic & Sister Sledge, 1978,247666,4,0.833,0.686,5,-8.735,1,0.119,0.00665,0.000771,0.0959,0.947,128.016,45
Good Times,CHIC,"Dance, Dance, Dance: The Best of Chic", 1979,495400,4,0.87,0.657,2,-7.32,1,0.0521,0.149,0.0102,0.053,0.893,110.596,39
I Want Your Love,CHIC,The Very Best of Chic, 1978,415466,4,0.706,0.723,9,-9.235,0,0.0382,0.0232,0.0444,0.0994,0.937,113.126,29
I'll Be There (feat. Nile Rodgers) - Single Version,CHIC,I'll Be There (feat. Nile Rodgers), 1980,217849,4,0.855,0.826,0,-3.882,1,0.0798,0.13,0.00000348,0.0782,0.798,125.013,35
Le Freak,CHIC,Le Freak / Savior Faire, 1978,210246,4,0.847,0.491,7,-15.707,1,0.054,0.0363,0.000687,0.186,0.875,119.873,48
My Forbidden Lover,CHIC,"Dance, Dance, Dance: The Best of Chic", 1979,274066,4,0.81,0.85,2,-9.77,1,0.0352,0.0286,0.00000172,0.313,0.889,106.625,23
Rebels Are We,CHIC,Real People, 1980,295013,4,0.96,0.766,5,-5.578,1,0.0424,0.49,0.00189,0.283,0.984,120.2,19
(Boogie Woogie) Dancin' Shoes,Claudja Barry,I Wanna Be Loved By You, 1978,299453,4,0.774,0.608,2,-10.041,0,0.0341,0.079,0.0000156,0.0853,0.837,138.985,26
Down and Counting 2008 - Club Mix,Claudja Barry,Down and Counting - The Single,2008,421306,4,0.704,0.917,1,-5.11,0,0.0497,0.000282,0.0216,0.0832,0.604,129.989,2
"Johnny, Johnny (Please Come Home) - A Tom Moulton Mix",Claudja Barry,Claudja, 1978,436084,4,0.713,0.565,7,-13.38,0,0.0329,0.108,0.000153,0.16,0.905,124.167,6
Love for the Sake of Love - A Tom Moulton Mix,Claudja Barry,Sweet Dynamite (USA Version), 1978,473770,4,0.781,0.481,11,-12.539,1,0.0612,0.0387,0.0166,0.0601,0.926,90.682,34
Work Me Over,Claudja Barry,Work Me Over, 1978,220204,4,0.843,0.705,11,-7.889,0,0.0399,0.264,0.0151,0.115,0.865,128.097,5
You Make Me Feel the Fire,Claudja Barry,Feel the Fire, 1978,325552,4,0.607,0.784,2,-9.03,1,0.0481,0.00529,0.00113,0.0922,0.819,136.878,1
Brick House,Commodores,Commodores, 1977,208893,4,0.832,0.782,4,-10.48,0,0.0597,0.0743,0.0179,0.032,0.63,107.878,65
Easy,Commodores,Commodores, 1977,256426,4,0.591,0.387,10,-15.077,0,0.0334,0.111,0.0000323,0.0596,0.358,132.921,75
Lady (You Bring Me Up),Commodores,In The Pocket, 1981,293226,4,0.892,0.593,0,-9.429,0,0.0405,0.2,0.000339,0.0996,0.867,120.979,56
Machine Gun,Commodores,Machine Gun, 1974,159466,4,0.741,0.97,5,-6.364,1,0.0341,0.00882,0.836,0.295,0.778,113.103,48
Nightshift,Commodores,Nightshift, 1985,306560,4,0.727,0.559,8,-10.194,1,0.0392,0.62,0.0114,0.0629,0.393,105.06,61
Oh No,Commodores,In The Pocket, 1981,184306,4,0.584,0.186,8,-17.158,1,0.0258,0.772,0.00000621,0.273,0.336,85.731,49
Sail On,Commodores,All The Great Love Songs, 1979,240240,4,0.481,0.317,1,-17.356,1,0.0455,0.413,0.000011,0.0786,0.435,142.417,54
Say Yeah,Commodores,Natural High, 1978,343733,4,0.652,0.279,3,-13.803,0,0.0558,0.268,0,0.255,0.488,149.249,31
Three Times A Lady,Commodores,All The Great Love Songs, 1978,217426,3,0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,53
Too Hot Ta Trot,Commodores,Live!, 1979,337680,4,0.853,0.771,9,-6.599,1,0.127,0.237,0.000361,0.0536,0.898,120.744,35
Dancin',Crown Heights Affair,Do It Your Way, 1978,376013,4,0.634,0.942,0,-7.418,1,0.0444,0.00121,0.161,0.257,0.768,123.429,16
Dreaming a Dream (Disco),Crown Heights Affair,Dreaming a Dream, 1979,232266,4,0.615,0.801,10,-9.258,0,0.0674,0.000175,0.887,0.0771,0.702,118.595,18
Every Beat of My Heart (New Disco Version),Crown Heights Affair,Dreaming a Dream, 1979,338200,4,0.525,0.864,10,-10.054,0,0.0569,8.64E-05,0.771,0.183,0.904,127.475,7
Far Out,Crown Heights Affair,Do It Your Way, 1979,381560,4,0.535,0.976,6,-6.415,1,0.0653,0.0166,0.346,0.0342,0.825,123.653,17
Galaxy of Love,Crown Heights Affair,Dream World (Expanded Version), 1979,355800,4,0.52,0.879,8,-7.272,1,0.0578,0.00373,0.111,0.0578,0.729,128,18
I Don't Want to Change You,Crown Heights Affair,Sure Shot, 1979,318946,4,0.772,0.819,2,-8.289,1,0.0632,0.0101,0.0879,0.0394,0.885,116.938,17
Say a Prayer for Two (12 Inch Mix),Crown Heights Affair,Dream World (Expanded Version), 1979,390400,4,0.617,0.742,1,-10.743,1,0.0528,0.00964,0.673,0.145,0.559,113.903,21
Sure Shot,Crown Heights Affair,Sure Shot, 1980,447240,4,0.779,0.891,11,-6.215,0,0.0506,0.0177,0.000476,0.294,0.812,122.703,14
Wine and Dine You,Crown Heights Affair,Think Positive!, 1979,386573,4,0.809,0.808,11,-6.488,0,0.0735,0.07,0.000037,0.0543,0.748,111.902,1
You Gave Me Love,Crown Heights Affair,Sure Shot, 1980,349809,4,0.703,0.907,9,-6.909,1,0.066,0.0128,0.18,0.0323,0.82,114.762,29
Between You Baby and Me,Curtis Mayfield,Heartbeat, 1975,283106,3,0.352,0.385,9,-11.265,1,0.104,0.568,0,0.128,0.332,178.151,17
Do Do Wap Is Strong in Here,Curtis Mayfield,Short Eyes - Original Motion Picture Soundtrack, 1976,332333,4,0.693,0.509,6,-15.27,1,0.106,0.228,0.00000294,0.114,0.871,102.929,16
Freddie's Dead - Theme From 'Superfly'; Single Mix,Curtis Mayfield,Superfly (Original Soundtrack), 1972,200720,4,0.49,0.86,1,-5.657,0,0.097,0.0188,0.0271,0.0756,0.803,90.464,25
